,sales
2021-08-11,883618.7698313857
2021-08-12,663361.8525091693
2021-08-13,466668.2520134511
2021-08-14,294007.67434834817
2021-08-15,316696.92406958627
2021-08-16,507262.842787869
2021-08-17,639488.6887272348
2021-08-18,672897.2798374684
2021-08-19,437673.1022440372
2021-08-20,495632.8778211777
2021-08-21,117078.76478646147
2021-08-22,227873.70412612474
2021-08-23,423600.7815505675
2021-08-24,736314.9358808132
2021-08-25,654779.0194232359
2021-08-26,469402.3571935539
2021-08-27,487567.13203075714
2021-08-28,111277.76302368003
2021-08-29,279884.68987762416
2021-08-30,473709.76782022027
2021-08-31,711689.3657011427
2021-09-01,852793.7546702266
2021-09-02,633270.0095171082
2021-09-03,429645.8204622193
2021-09-04,323676.7109480674
2021-09-05,457151.56051685335
2021-09-06,744936.8474750636
2021-09-07,1025690.1303479801
2021-09-08,882339.0659051456
2021-09-09,722328.2826430072
2021-09-10,532306.0743383513
2021-09-11,164794.35892864832
2021-09-12,446471.9457722316
2021-09-13,600032.1807599268
2021-09-14,713490.2979957458
2021-09-15,769782.5002367343
2021-09-16,624243.673794903
2021-09-17,304882.93110575207
2021-09-18,187193.31747175808
2021-09-19,230859.7765951774
2021-09-20,364419.0737125877
2021-09-21,672916.2665146904
2021-09-22,479306.509785898
2021-09-23,459467.85244236083
2021-09-24,270054.4972387874
2021-09-25,50000.0
2021-09-26,221291.8995442538
2021-09-27,682323.7122470478
2021-09-28,718739.4343579067
2021-09-29,823543.3170256399
2021-09-30,509333.59099868994
2021-10-01,479947.5037283576
2021-10-02,263784.10177398525
2021-10-03,431479.0299264175
2021-10-04,694186.7878424054
2021-10-05,934832.6714560441
2021-10-06,954892.5824574287
2021-10-07,662590.3862895728
2021-10-08,454150.8835250385
2021-10-09,311167.2855668003
2021-10-10,432688.5010741822
2021-10-11,560672.4369188937
2021-10-12,942540.6670618954
2021-10-13,893483.1623028903
2021-10-14,658692.5140439504
2021-10-15,471651.07042847335
2021-10-16,163190.68486260838
2021-10-17,361343.0762345723
2021-10-18,450645.5282905366
2021-10-19,760611.8622830597
2021-10-20,682331.3098430654
2021-10-21,579120.1930493524
2021-10-22,457425.6415985456
2021-10-23,134803.9078578091
2021-10-24,200078.76054580204
2021-10-25,605596.040988822
2021-10-26,712278.3525597621
2021-10-27,773814.5817291294
2021-10-28,585305.8961429768
2021-10-29,576732.780938745
2021-10-30,252322.6894250842
2021-10-31,142465.4420666536
2021-11-01,605522.6322737434
2021-11-02,769843.6180027168
2021-11-03,670574.5508811217
2021-11-04,841191.5321743712
2021-11-05,570976.8229596717
2021-11-06,219485.81581783982
2021-11-07,456812.4037137798
2021-11-08,558021.0934254164
2021-11-09,960518.4938302867
2021-11-10,872429.3998763302
2021-11-11,649728.1195911638
2021-11-12,719889.6824840069
2021-11-13,225468.4817084546
2021-11-14,258859.95673491765
2021-11-15,475305.9494881062
2021-11-16,696731.6188329913
2021-11-17,720714.5060127084
2021-11-18,565526.267180715
2021-11-19,346189.0619025555
2021-11-20,177358.6188145674
2021-11-21,255361.0305234288
2021-11-22,563216.7171202188
2021-11-23,449809.77117463225
2021-11-24,610355.2007389141
2021-11-25,519661.4780882502
2021-11-26,536618.7567584382
2021-11-27,180.27695342927473
2021-11-28,162120.12041058263
2021-11-29,608609.432652708
2021-11-30,684473.3222929513
2021-12-01,738669.7874256604
2021-12-02,795671.0750722947
2021-12-03,447987.74430767255
2021-12-04,295772.4301202496
2021-12-05,460696.7458571486
2021-12-06,669276.8775306923
2021-12-07,779337.3322882394
2021-12-08,984243.3359033251
2021-12-09,811986.5290524461
2021-12-10,518308.6784448084
2021-12-11,266464.85293026135
2021-12-12,473996.72771071905
2021-12-13,579089.0369586134
2021-12-14,693907.2305557645
2021-12-15,663481.5360675167
2021-12-16,632732.5253496709
2021-12-17,371670.3350415927
2021-12-18,239253.43476872958
2021-12-19,210879.85286514583
2021-12-20,447844.8243676796
2021-12-21,718224.8893683428
2021-12-22,717363.4579342443
2021-12-23,600985.2630933488
2021-12-24,251416.95073452208
2021-12-25,200398.70751681158
2021-12-26,390509.63799995615
2021-12-27,586765.0959782654
2021-12-28,641130.667498354
2021-12-29,772024.935484269
2021-12-30,696458.2814821906
2021-12-31,486426.7132966048
2022-01-01,214039.8728970951
2022-01-02,349853.7191055241
2022-01-03,547943.6822496773
2022-01-04,820240.6803935808
2022-01-05,898783.5262249308
2022-01-06,599202.4967016515
2022-01-07,539455.1416033992
2022-01-08,395343.2572466421
2022-01-09,363914.08887761866
2022-01-10,651004.9525536147
2022-01-11,844086.8576962579
2022-01-12,784493.5022203665
2022-01-13,738683.986629858
2022-01-14,410344.30748428643
2022-01-15,349311.87681190594
2022-01-16,393287.8434075852
2022-01-17,519970.44031485525
2022-01-18,697957.4671030061
2022-01-19,811817.2262957522
2022-01-20,644236.1794674349
2022-01-21,455303.1620619022
2022-01-22,89644.55878558045
2022-01-23,291638.11725244415
2022-01-24,498587.8709424937
2022-01-25,859676.0192516735
2022-01-26,681026.7537936895
2022-01-27,702381.1922328563
2022-01-28,367104.5482122266
2022-01-29,125456.48758386585
2022-01-30,233568.78875836666
2022-01-31,629089.9061714179
2022-02-01,615012.0024021027
2022-02-02,832728.3635547546
2022-02-03,680666.2748011507
2022-02-04,512437.0627891148
2022-02-05,226309.8051893452
2022-02-06,386685.202170088
2022-02-07,754219.4647457709
2022-02-08,945800.1843909612
2022-02-09,975631.4087298757
2022-02-10,746139.0305539229
2022-02-11,451197.7240170626
2022-02-12,259766.8526769213
2022-02-13,418975.9005697739
2022-02-14,664734.3139028202
2022-02-15,717770.8635492341
2022-02-16,835402.5968682304
2022-02-17,549851.2398732908
2022-02-18,484855.067773881
2022-02-19,156382.59552381068
2022-02-20,263208.74772206147
2022-02-21,586631.5880802047
2022-02-22,695686.9499861236
2022-02-23,718200.5007516977
2022-02-24,561003.7756179653
2022-02-25,447653.02449517965
2022-02-26,41289.91663017319
2022-02-27,323037.0230396258
2022-02-28,446125.3121435485
2022-03-01,858309.8379930478
2022-03-02,749145.006459072
2022-03-03,814567.8245042707
2022-03-04,511390.36610703665
2022-03-05,368730.89307362254
2022-03-06,426675.751332749
2022-03-07,681371.4111897578
2022-03-08,966710.3650987643
2022-03-09,923829.8258234074
2022-03-10,700829.2544824581
2022-03-11,650586.9506033146
2022-03-12,369825.0037046092
2022-03-13,613275.6269625546
2022-03-14,464248.6154545578
2022-03-15,825128.5170729748
2022-03-16,785277.8712132636
2022-03-17,783678.7874914317
2022-03-18,599831.4731210354
2022-03-19,86526.74400360156
2022-03-20,130060.31868030905
2022-03-21,517499.8398792001
2022-03-22,730240.9340540565
2022-03-23,691388.1276997029
2022-03-24,580814.3318264396
2022-03-25,501036.02352675376
2022-03-26,225140.508916377
2022-03-27,180678.61229866694
2022-03-28,545816.6094736562
2022-03-29,866067.4945011291
2022-03-30,704419.4111408679
2022-03-31,749586.5865562684
2022-04-01,495028.1333796791
2022-04-02,361938.7669625807
2022-04-03,610018.235349518
2022-04-04,614904.8753413549
2022-04-05,763353.9117737829
2022-04-06,825868.848998353
2022-04-07,702180.8456409774
2022-04-08,528559.7561366918
2022-04-09,418442.2223232272
2022-04-10,341795.5252353833
2022-04-11,754161.0821966683
2022-04-12,907368.3154080859
2022-04-13,743751.5391180597
2022-04-14,843886.8324346759
2022-04-15,485857.4678570619
2022-04-16,130522.50737065397
2022-04-17,412761.47998832347
2022-04-18,512418.81998202624
2022-04-19,714998.021369294
2022-04-20,749260.72965372
2022-04-21,619043.989087114
2022-04-22,375419.7571330667
2022-04-23,178128.9118336502
2022-04-24,323507.7769941507
2022-04-25,578970.5690756466
2022-04-26,587123.7311416848
2022-04-27,672496.4943679499
2022-04-28,531381.8882834441
2022-04-29,456982.3830250342
2022-04-30,348114.2494286228
2022-05-01,368210.998046467
2022-05-02,672531.414038895
2022-05-03,879338.7914761297
2022-05-04,771420.1578059745
2022-05-05,768238.5897029721
2022-05-06,486831.3850820938
2022-05-07,240004.08199958847
2022-05-08,530918.6520814721
2022-05-09,545644.698508532
2022-05-10,810259.3436604211
2022-05-11,897375.7899829709
2022-05-12,664067.9167611873
2022-05-13,626574.7638287207
2022-05-14,291302.07275819016
2022-05-15,365906.2492070705
2022-05-16,633752.8132550758
2022-05-17,766916.6116962949
2022-05-18,731147.4366198678
2022-05-19,559115.6658412551
2022-05-20,407504.11773618485
2022-05-21,352034.82617566566
2022-05-22,325638.44408574543
2022-05-23,503220.3658735121
2022-05-24,710465.4740002358
2022-05-25,837332.6699960737
2022-05-26,587446.3680417641
2022-05-27,485980.1909930768
2022-05-28,50000.0
2022-05-29,201476.37239033385
2022-05-30,586674.127614457
2022-05-31,839967.7628166516
2022-06-01,990023.734881108
2022-06-02,814456.5692595353
2022-06-03,550123.0691121558
2022-06-04,465932.3785063971
2022-06-05,514247.56927420385
2022-06-06,707063.4787846368
2022-06-07,911487.1243955856
2022-06-08,968006.9570110987
2022-06-09,733165.0489368485
2022-06-10,394862.7510963938
2022-06-11,390972.7739082135
2022-06-12,445626.7858837603
2022-06-13,689347.9093971122
2022-06-14,790264.2040647266
2022-06-15,844994.4856463734
2022-06-16,733200.0479679643
2022-06-17,374404.2445043187
2022-06-18,301435.3234194776
2022-06-19,405427.49183320726
2022-06-20,559877.6295272803
2022-06-21,749362.6897165198
2022-06-22,770449.687795388
2022-06-23,576294.2231386638
2022-06-24,586520.7795103487
2022-06-25,185521.32852056445
2022-06-26,311566.77435643814
2022-06-27,578305.3732223426
2022-06-28,759670.3803466596
2022-06-29,896896.4086705059
2022-06-30,516032.08134317177
2022-07-01,577856.9571884077
2022-07-02,439731.6530776365
2022-07-03,409233.025911848
2022-07-04,611998.5947914531
2022-07-05,900717.2648376767
2022-07-06,910022.6719121956
2022-07-07,878563.002656124
2022-07-08,735713.9627661047
2022-07-09,355113.17241630104
2022-07-10,519831.2162758806
2022-07-11,808631.375338194
2022-07-12,759572.0865657136
2022-07-13,899920.6525308486
2022-07-14,765288.1729955303
2022-07-15,630567.752010519
2022-07-16,288215.47930472175
2022-07-17,397270.8868109549
2022-07-18,525808.8428727019
2022-07-19,742894.2911704959
2022-07-20,742194.9710624987
2022-07-21,548432.8231593436
2022-07-22,462761.9246763141
2022-07-23,119355.3972783221
2022-07-24,480866.6480688811
2022-07-25,664214.9079750023
2022-07-26,715743.1158195212
2022-07-27,685248.9799034046
2022-07-28,696619.3863004141
2022-07-29,482905.1837764712
2022-07-30,412971.8099575341
2022-07-31,384424.60975967994
2022-08-01,762390.4973431006
2022-08-02,895769.1370350905
2022-08-03,810072.6110846397
2022-08-04,838468.3599171423
2022-08-05,456605.7762483305
2022-08-06,463501.0798347056
2022-08-07,573625.5048912617
2022-08-08,732335.0885116366
2022-08-09,896813.2070825403
2022-08-10,942077.4396232646
2022-08-11,868578.4995618516
2022-08-12,611655.0556192053
2022-08-13,421332.175041297
2022-08-14,446846.24031744926
2022-08-15,718932.091873864
2022-08-16,941364.987636979
2022-08-17,765250.9898881251
2022-08-18,536051.818103412
2022-08-19,273494.96676088724
2022-08-20,116242.10835517063
2022-08-21,337605.9536498495
2022-08-22,446825.00841242576
2022-08-23,684696.7144655637
2022-08-24,778588.6720403212
2022-08-25,386660.979394995
2022-08-26,435043.460206573
2022-08-27,278468.3529508521
2022-08-28,243029.5458348965
2022-08-29,550608.7778163335
2022-08-30,896624.3952285119
2022-08-31,829935.9095778323
2022-09-01,633852.8147636136
2022-09-02,683659.7553762366
2022-09-03,431918.07053921605
2022-09-04,517695.3355549623
2022-09-05,727565.789571292
2022-09-06,836885.4748092606
2022-09-07,944569.9422729614
2022-09-08,738233.0880917567
2022-09-09,528505.5569540471
2022-09-10,623525.081497307
2022-09-11,673008.5033847201
2022-09-12,749928.4812454904
2022-09-13,960105.8589021557
2022-09-14,960118.0683009523
2022-09-15,731420.9104085836
2022-09-16,514253.51708890096
2022-09-17,186497.14942553284
2022-09-18,336535.28578425513
2022-09-19,678919.0346628523
2022-09-20,656183.4776659459
2022-09-21,742928.400599694
2022-09-22,651253.7656948676
2022-09-23,535235.5673180247
2022-09-24,273010.88307324896
2022-09-25,352919.5587942307
2022-09-26,648554.9544044776
2022-09-27,838369.7021619597
2022-09-28,671158.9470350744
2022-09-29,709481.5466885095
2022-09-30,478260.9796939955
2022-10-01,371037.92853349075
2022-10-02,379087.1077026706
2022-10-03,759321.4011049321
2022-10-04,1002908.0509018793
2022-10-05,847181.8404751758
2022-10-06,742729.2110599467
2022-10-07,662983.9811485147
2022-10-08,578561.4489330992
2022-10-09,635245.4913115718
2022-10-10,790034.3086919974
2022-10-11,919606.8684899434
2022-10-12,986134.4527352061
2022-10-13,731845.3812302069
2022-10-14,570685.6341108069
2022-10-15,235017.60034831776
2022-10-16,469200.6176967561
2022-10-17,466586.7418867316
2022-10-18,775520.7125691425
2022-10-19,789972.1093403269
2022-10-20,730770.7469145686
2022-10-21,546265.1688480754
2022-10-22,112465.7993768203
2022-10-23,200918.45511330874
2022-10-24,621796.1906819651
2022-10-25,589207.6023995335
2022-10-26,837239.1854250745
2022-10-27,554246.9207477176
2022-10-28,494338.7124418777
2022-10-29,415687.81460830837
2022-10-30,397931.27475209284
2022-10-31,717996.7299482959
2022-11-01,818136.5533735127
2022-11-02,963470.889879602
2022-11-03,738178.8150066426
2022-11-04,676618.9642863804
2022-11-05,366550.4578874508
2022-11-06,607080.3668711984
2022-11-07,643790.9417581238
2022-11-08,993694.3953760066
2022-11-09,859460.830675498
2022-11-10,778656.607711151
2022-11-11,726637.3555388395
2022-11-12,438686.1290956479
2022-11-13,560424.4878075277
2022-11-14,569249.4256151353
2022-11-15,910031.1004843176
2022-11-16,880718.4048197453
2022-11-17,684570.0640639093
2022-11-18,563097.2279780908
2022-11-19,347804.1208624437
2022-11-20,334309.3957778208
2022-11-21,708071.8303317871
2022-11-22,664545.1792936677
2022-11-23,806311.4644887582
2022-11-24,625750.0173444217
2022-11-25,429480.66711885383
2022-11-26,326584.8524924698
2022-11-27,421685.71872771764
2022-11-28,589143.5918805193
2022-11-29,717716.260851753
2022-11-30,943640.56870892
2022-12-01,881396.5187788795
2022-12-02,688257.5297638263
2022-12-03,393573.9014182087
2022-12-04,617293.067326123
2022-12-05,871905.3735126221
2022-12-06,1121080.0317897617
2022-12-07,1055135.473755382
2022-12-08,819618.1206767325
2022-12-09,714708.2832989617
2022-12-10,414493.6437680825
2022-12-11,510526.631957566
2022-12-12,745539.7653596739
2022-12-13,789883.3658600454
2022-12-14,986554.9533096612
2022-12-15,706498.2647558136
2022-12-16,506054.85020161537
2022-12-17,381970.0710716924
2022-12-18,460024.406534708
2022-12-19,591041.2227761998
2022-12-20,888247.9126555589
2022-12-21,801451.8021067234
2022-12-22,617419.2061435856
2022-12-23,452784.23045444017
2022-12-24,412364.5941533325
2022-12-25,292071.40001136827
2022-12-26,669196.7070020437
2022-12-27,882625.1694415068
2022-12-28,771989.937253427
2022-12-29,665218.2420017738
2022-12-30,439570.2902735348
2022-12-31,358043.95768167026
2023-01-01,374326.7993018016
2023-01-02,828071.2427243742
2023-01-03,922330.6524773436
2023-01-04,1026746.0738513601
2023-01-05,906964.9039432282
2023-01-06,593916.9398628464
2023-01-07,383859.6154626544
2023-01-08,572553.8064288181
2023-01-09,840299.5405320601
2023-01-10,791471.7120785511
2023-01-11,1127260.2203040547
2023-01-12,885485.1816887654
2023-01-13,629121.012529015
2023-01-14,345805.88516290224
2023-01-15,356563.6267555404
2023-01-16,772516.0370570867
2023-01-17,951376.6845833561
2023-01-18,861385.1866102524
2023-01-19,675133.664185754
2023-01-20,677795.4180500564
2023-01-21,301883.68151500466
2023-01-22,317592.07282713894
2023-01-23,636751.3127439787
2023-01-24,708032.5886130221
2023-01-25,836297.9135397291
2023-01-26,736717.0503201745
2023-01-27,537155.9676480859
2023-01-28,297770.37735650607
2023-01-29,441833.6263132304
2023-01-30,695414.9448713455
2023-01-31,835854.8881006432
2023-02-01,953366.7119594945
2023-02-02,719251.3352066815
2023-02-03,645423.1905520704
2023-02-04,468713.0721588763
2023-02-05,587829.87504998
2023-02-06,958483.0399309336
2023-02-07,1005712.5075676508
2023-02-08,1034066.569914462
2023-02-09,754453.1169373151
2023-02-10,684854.6213361091
2023-02-11,363397.52669639396
2023-02-12,483405.30918002233
2023-02-13,803801.7153639919
2023-02-14,880918.987466337
2023-02-15,956153.516446186
2023-02-16,728118.8747831585
2023-02-17,403080.7841563474
2023-02-18,195773.53766631073
2023-02-19,255763.47119374273
2023-02-20,642416.499342973
2023-02-21,919231.5520840131
2023-02-22,787309.1129226555
2023-02-23,614458.6665900517
2023-02-24,507532.1165735177
2023-02-25,347030.47817699757
2023-02-26,226346.7946543617
2023-02-27,613279.2569819045
2023-02-28,742072.211642714
2023-03-01,908642.47702276
2023-03-02,833540.0599244274
2023-03-03,643586.3623980463
2023-03-04,600681.7946246295
2023-03-05,623343.0942462526
2023-03-06,904149.1580853864
2023-03-07,1005995.3483856528
2023-03-08,977528.7122143358
2023-03-09,928749.8036424347
2023-03-10,542294.7795478277
2023-03-11,405961.96000766376
2023-03-12,653692.3269652651
2023-03-13,846322.4423223857
2023-03-14,871893.3116556723
2023-03-15,1050208.0027501995
2023-03-16,735477.8588552221
2023-03-17,586564.7056164538
2023-03-18,380113.03680067987
2023-03-19,441557.3604867811
2023-03-20,704704.4115011169
2023-03-21,748852.1563896372
2023-03-22,803921.2150793368
2023-03-23,564054.1768650711
2023-03-24,581118.8759676998
2023-03-25,281673.7897811479
2023-03-26,355381.4391634801
2023-03-27,692087.0704753282
2023-03-28,805159.5325943179
2023-03-29,904458.6510822546
2023-03-30,723856.6400823278
2023-03-31,652001.4681543902
2023-04-01,284338.7373696924
2023-04-02,437759.60487296415
2023-04-03,873751.5864392198
2023-04-04,956072.6347444413
2023-04-05,949964.9416467991
2023-04-06,842334.0268005809
2023-04-07,667315.2680088885
2023-04-08,390991.35611758207
2023-04-09,622723.0333128656
2023-04-10,785365.4990390661
2023-04-11,864861.2720160006
2023-04-12,1190867.8736068853
2023-04-13,808320.6806191361
2023-04-14,673765.5881572291
2023-04-15,445361.1013740484
2023-04-16,409251.3870390088
2023-04-17,676181.1135829516
2023-04-18,827854.6187895079
2023-04-19,798704.8082027911
2023-04-20,740874.3652425832
2023-04-21,515360.71562975564
2023-04-22,324424.42218397214
2023-04-23,524089.2896105269
2023-04-24,777423.0838249458
2023-04-25,792761.2575671022
2023-04-26,862587.2924937666
2023-04-27,809949.6237175239
2023-04-28,450006.6469871112
2023-04-29,406888.77330674545
2023-04-30,488507.89812079875
2023-05-01,865202.2041189633
2023-05-02,909805.4630392236
2023-05-03,873821.1974915233
2023-05-04,972043.1237447086
2023-05-05,531499.1798194208
2023-05-06,491245.13176620885
2023-05-07,616191.6079022055
2023-05-08,862869.5781480706
2023-05-09,1259256.906170667
2023-05-10,1094414.2999235084
2023-05-11,903771.0136207275
2023-05-12,576598.1495355512
2023-05-13,488318.03228305414
2023-05-14,468854.1327252173
2023-05-15,751553.869745952
2023-05-16,871591.0787066281
2023-05-17,1063520.4470019573
2023-05-18,836355.73821976
2023-05-19,405164.5981147087
2023-05-20,248977.2515612516
2023-05-21,379184.1328413008
2023-05-22,712093.1618469291
2023-05-23,738557.6654933277
2023-05-24,909054.377477017
2023-05-25,638294.245391457
2023-05-26,496133.63170464284
2023-05-27,422460.8542008924
2023-05-28,475600.7995661649
2023-05-29,697420.311126307
2023-05-30,906221.544954229
2023-05-31,888721.3102903266
2023-06-01,720252.2827348182
2023-06-02,834744.7339001202
2023-06-03,395992.8614540501
2023-06-04,610732.0382714494
2023-06-05,865296.5292754734
2023-06-06,987167.8477802293
2023-06-07,1027292.1323519126
2023-06-08,796845.4045768514
2023-06-09,685884.68781267
2023-06-10,643296.9340113604
2023-06-11,574845.6293092726
2023-06-12,856360.3339984925
2023-06-13,879953.8120676934
2023-06-14,854299.61062358
2023-06-15,745412.012044151
2023-06-16,456834.03065474087
2023-06-17,293032.1212372184
2023-06-18,487961.46164007246
2023-06-19,718972.690976731
2023-06-20,926603.718088901
2023-06-21,862710.1323266071
2023-06-22,612972.0109352471
2023-06-23,627200.2235932273
2023-06-24,208579.16284541896
2023-06-25,392928.24745748186
2023-06-26,662366.8546953496
2023-06-27,932832.7342404472
2023-06-28,976992.6947523407
2023-06-29,701884.8245412641
2023-06-30,623007.4319646166
2023-07-01,463685.8818979823
2023-07-02,380355.819787994
2023-07-03,709999.4009401788
2023-07-04,1023830.4100989153
2023-07-05,948140.2858662247
2023-07-06,853865.2626714103
2023-07-07,801823.5760284588
2023-07-08,413452.6491484637
2023-07-09,581790.3964974153
2023-07-10,741616.6642436994
2023-07-11,1062383.9958918325
2023-07-12,862256.3091031903
2023-07-13,825410.6184668982
2023-07-14,746714.0868520448
2023-07-15,356270.42492406844
2023-07-16,507882.30076157296
2023-07-17,833709.4122167067
2023-07-18,847363.894675435
2023-07-19,854781.5308893771
2023-07-20,801923.8650038317
2023-07-21,607024.0818535917
2023-07-22,373717.46137267
2023-07-23,411115.1099004536
2023-07-24,666931.8196185445
2023-07-25,807871.3251037278
2023-07-26,809009.1271728443
2023-07-27,680877.9916397184
